,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Stacy McGee,7.6991,4.085,1.885,0.059,-0.307,15.705
DisplayName_Star Lotulelei,-2.8586,3.28,-0.872,0.383,-9.287,3.57
DisplayName_Stefan McClure,1.021,5.467,0.187,0.852,-9.694,11.736
DisplayName_Stefen Wisniewski,-1.7423,2.498,-0.697,0.486,-6.639,3.155
DisplayName_Stefon Diggs,-6.6745,4.903,-1.361,0.173,-16.285,2.936
DisplayName_Stephen Anderson,-6.0608,6.618,-0.916,0.36,-19.031,6.909
DisplayName_Stephen Paea,-9.7033,9.683,-1.002,0.316,-28.682,9.275
DisplayName_Stephen Weatherly,-17.3544,18.022,-0.963,0.336,-52.677,17.968
DisplayName_Stephon Gilmore,-2.8097,2.816,-0.998,0.318,-8.329,2.709
DisplayName_Stephon Tuitt,-5.5851,7.507,-0.744,0.457,-20.298,9.128
DisplayName_Stephone Anthony,0.6959,6.906,0.101,0.92,-12.84,14.231
DisplayName_Sterling Moore,-1.2515,3.155,-0.397,0.692,-7.435,4.933
DisplayName_Sterling Shepard,-3.3121,3.003,-1.103,0.27,-9.197,2.573
DisplayName_Stevan Ridley,-4.8922,3.264,-1.499,0.134,-11.289,1.504
DisplayName_Steve Longa,2.0039,6.292,0.318,0.75,-10.328,14.336
DisplayName_Steve McLendon,-2.9419,1.594,-1.846,0.065,-6.066,0.182
DisplayName_Steven Means,-16.8518,18.421,-0.915,0.36,-52.957,19.253
DisplayName_Steven Nelson,-3.7179,1.478,-2.516,0.012,-6.614,-0.822
DisplayName_Steven Terrell,0.6638,3.423,0.194,0.846,-6.044,7.372
DisplayName_Su'a Cravens,4.9896,9.522,0.524,0.6,-13.672,23.652
DisplayName_Sylvester Williams,0.9602,0.847,1.133,0.257,-0.7,2.621
DisplayName_T.J. Carrie,-1.3505,3.418,-0.395,0.693,-8.049,5.348
DisplayName_T.J. Clemmings,-4.221,2.923,-1.444,0.149,-9.949,1.507
DisplayName_T.J. Green,2.8728,6.669,0.431,0.667,-10.198,15.943
DisplayName_T.J. Johnson,-9.8527,4.198,-2.347,0.019,-18.081,-1.624
DisplayName_T.J. Jones,-8.3639,5.159,-1.621,0.105,-18.475,1.747
DisplayName_T.J. Lang,-0.4025,0.504,-0.798,0.425,-1.391,0.586
DisplayName_T.J. Logan,-16.3855,10.43,-1.571,0.116,-36.828,4.057
DisplayName_T.J. McDonald,4.1676,6.738,0.618,0.536,-9.039,17.374
DisplayName_T.J. Ward,1.4264,3.301,0.432,0.666,-5.044,7.896
DisplayName_T.J. Watt,2.8787,8.649,0.333,0.739,-14.074,19.831
DisplayName_T.J. Yates,-1.3682,2.585,-0.529,0.597,-6.435,3.699
DisplayName_T.J. Yeldon,-4.2446,2.657,-1.598,0.11,-9.451,0.962
DisplayName_T.Y. Hilton,-8.7991,6.947,-1.267,0.205,-22.414,4.816
DisplayName_T.Y. McGill,-7.7347,8.489,-0.911,0.362,-24.372,8.903
DisplayName_Taco Charlton,-16.0458,16.713,-0.96,0.337,-48.802,16.71
DisplayName_Tae Davis,-4.7649,2.047,-2.328,0.02,-8.777,-0.753
DisplayName_Tahir Whitehead,0.9974,5.896,0.169,0.866,-10.559,12.553
DisplayName_Taiwan Jones,-13.8301,11.416,-1.211,0.226,-36.205,8.545
DisplayName_Tajae Sharpe,-6.9633,4.165,-1.672,0.095,-15.127,1.201
DisplayName_Takkarist McKinley,-15.4071,17.772,-0.867,0.386,-50.239,19.425
DisplayName_Tamba Hali,11.252,15.204,0.74,0.459,-18.547,41.051
DisplayName_Tani Tupou,-17.3503,13.489,-1.286,0.198,-43.788,9.087
DisplayName_Tank Carradine,-15.5218,16.537,-0.939,0.348,-47.935,16.891
DisplayName_Tanner Gentry,-1.7846,2.146,-0.832,0.406,-5.991,2.421
DisplayName_Tanner McEvoy,0.6759,6.349,0.106,0.915,-11.769,13.121
DisplayName_Tanner Vallejo,-3.7201,2.788,-1.334,0.182,-9.184,1.744
DisplayName_Tanoh Kpassagnon,-10.167,11.506,-0.884,0.377,-32.718,12.384
DisplayName_Tanzel Smart,-8.9148,9.645,-0.924,0.355,-27.818,9.989
DisplayName_Taquan Mizzell,-9.0092,6.629,-1.359,0.174,-22.001,3.983
DisplayName_Tarell Basham,6.8177,12.541,0.544,0.587,-17.762,31.398
DisplayName_Tarik Cohen,-10.623,10.263,-1.035,0.301,-30.738,9.492
DisplayName_Taron Johnson,-3.9836,1.545,-2.579,0.01,-7.011,-0.956
DisplayName_Tarvarius Moore,-1.044,3.52,-0.297,0.767,-7.944,5.856
DisplayName_Tashaun Gipson,2.9143,6.01,0.485,0.628,-8.864,14.693
DisplayName_Tashawn Bower,-21.7495,22.293,-0.976,0.329,-65.444,21.945
DisplayName_Tavarres King,-7.9379,4.676,-1.698,0.09,-17.103,1.227
DisplayName_Taven Bryan,-12.3782,11.115,-1.114,0.265,-34.163,9.407
DisplayName_Tavierre Thomas,-2.2235,4.46,-0.499,0.618,-10.964,6.517
DisplayName_Tavon Austin,-8.7574,8.0,-1.095,0.274,-24.437,6.922
DisplayName_Tavon Wilson,2.2209,5.035,0.441,0.659,-7.647,12.089
DisplayName_Tavon Young,-6.532,2.642,-2.472,0.013,-11.711,-1.353
DisplayName_Taylor Decker,-1.5932,4.646,-0.343,0.732,-10.699,7.513
DisplayName_Taylor Gabriel,-12.2228,11.158,-1.095,0.273,-34.093,9.647
DisplayName_Taylor Heinicke,-2.7921,4.38,-0.637,0.524,-11.376,5.792
DisplayName_Taylor Lewan,-3.8952,2.64,-1.475,0.14,-9.07,1.28
DisplayName_Taylor Moton,2.4064,6.691,0.36,0.719,-10.708,15.521
DisplayName_Taylor Stallworth,-7.286,6.931,-1.051,0.293,-20.87,6.298
DisplayName_Taysom Hill,-0.0546,1.433,-0.038,0.97,-2.863,2.754
DisplayName_Taywan Taylor,-2.4348,2.646,-0.92,0.357,-7.62,2.751
DisplayName_Ted Ginn,-8.8651,7.758,-1.143,0.253,-24.071,6.341
DisplayName_Ted Karras,-6.2347,2.074,-3.007,0.003,-10.299,-2.17
DisplayName_Ted Larsen,0.0595,4.684,0.013,0.99,-9.122,9.241
DisplayName_Teddy Bridgewater,-0.364,3.112,-0.117,0.907,-6.464,5.736
DisplayName_Tedric Thompson,1.3908,3.998,0.348,0.728,-6.445,9.226
DisplayName_Teez Tabor,-1.8905,2.71,-0.698,0.485,-7.202,3.421
DisplayName_Telvin Smith,-8.0549,2.579,-3.124,0.002,-13.109,-3.001
DisplayName_Temarrick Hemingway,1.584e-14,1.04e-14,1.518,0.129,-4.62e-15,3.63e-14
DisplayName_Tenny Palepoi,-7.8215,8.817,-0.887,0.375,-25.103,9.46
DisplayName_Terence Garvin,0.3529,6.025,0.059,0.953,-11.457,12.163
DisplayName_Terence Newman,-3.2093,2.118,-1.516,0.13,-7.36,0.941
DisplayName_Terrance Mitchell,-5.2313,1.59,-3.289,0.001,-8.348,-2.114
DisplayName_Terrance Smith,-1.3517,4.356,-0.31,0.756,-9.89,7.187
DisplayName_Terrance West,-3.6495,2.741,-1.331,0.183,-9.022,1.724
DisplayName_Terrance Williams,-2.0916,2.146,-0.975,0.33,-6.298,2.115
DisplayName_Terrell Edmunds,4.0026,7.392,0.541,0.588,-10.486,18.491
DisplayName_Terrell McClain,-7.3393,7.746,-0.948,0.343,-22.521,7.842
DisplayName_Terrell Suggs,6.4295,12.34,0.521,0.602,-17.757,30.616
DisplayName_Terrell Watson,-0.8676,5.135,-0.169,0.866,-10.931,9.196
DisplayName_Terrelle Pryor,2.3273,5.976,0.389,0.697,-9.386,14.041
DisplayName_Terrence Brooks,2.7593,4.558,0.605,0.545,-6.175,11.693
DisplayName_Terrence Fede,-15.3809,17.383,-0.885,0.376,-49.452,18.69
DisplayName_Terron Armstead,-4.2537,2.176,-1.955,0.051,-8.519,0.012
DisplayName_Terron Ward,-7.5961,7.714,-0.985,0.325,-22.715,7.523
DisplayName_Tevin Coleman,-8.141,5.535,-1.471,0.141,-18.989,2.707
DisplayName_Theo Riddick,-9.824,7.696,-1.276,0.202,-24.908,5.26
DisplayName_Thomas Davis,-1.2892,4.335,-0.297,0.766,-9.785,7.207
DisplayName_Thomas Rawls,-6.0936,4.272,-1.426,0.154,-14.467,2.28
DisplayName_Tim Lelito,-4.8223,4.253,-1.134,0.257,-13.158,3.514
DisplayName_Tim Patrick,-2.7634,2.162,-1.278,0.201,-7.0,1.473
DisplayName_Tim Settle,-0.3314,2.304,-0.144,0.886,-4.847,4.184
DisplayName_Tim White,-10.4289,9.043,-1.153,0.249,-28.152,7.294
DisplayName_Tim Williams,1.2843,8.774,0.146,0.884,-15.913,18.481
DisplayName_Timmy Jernigan,-10.408,9.718,-1.071,0.284,-29.455,8.639
DisplayName_Timon Parris,0.8834,5.852,0.151,0.88,-10.586,12.352
DisplayName_Tion Green,-5.2825,3.324,-1.589,0.112,-11.798,1.232
DisplayName_Todd Davis,-2.4919,3.073,-0.811,0.417,-8.515,3.531
DisplayName_Todd Gurley,-4.1569,2.471,-1.683,0.092,-8.999,0.685
DisplayName_Tom Brady,-0.3375,0.417,-0.81,0.418,-1.155,0.48
DisplayName_Tom Compton,-0.9801,0.765,-1.281,0.2,-2.479,0.519
DisplayName_Tom Johnson,-12.7965,11.764,-1.088,0.277,-35.853,10.26
DisplayName_Tom Savage,1.6382,1.398,1.172,0.241,-1.102,4.378
DisplayName_Tommy Bohanon,-1.4378,1.42,-1.012,0.311,-4.222,1.346
DisplayName_Tommylee Lewis,-9.1297,10.918,-0.836,0.403,-30.529,12.27
DisplayName_Tony Bergstrom,-2.3759,1.337,-1.777,0.076,-4.997,0.245
DisplayName_Tony Brown,-1.8447,3.366,-0.548,0.584,-8.442,4.753
DisplayName_Tony Jefferson,3.0744,5.967,0.515,0.606,-8.62,14.769
DisplayName_Tony Lippett,-11.6995,6.508,-1.798,0.072,-24.454,1.055
DisplayName_Tony McDaniel,-6.937,7.457,-0.93,0.352,-21.552,7.678
DisplayName_Tony McRae,-6.6211,2.969,-2.23,0.026,-12.44,-0.802
DisplayName_Torrey Smith,-1.5002,2.332,-0.643,0.52,-6.071,3.071
DisplayName_Torry McTyer,-5.6996,1.981,-2.878,0.004,-9.582,-1.818
DisplayName_Tra Carson,0.1369,4.029,0.034,0.973,-7.759,8.033
DisplayName_Tracy Walker,0.9868,5.828,0.169,0.866,-10.436,12.41
DisplayName_Trae Elston,1.9963,3.932,0.508,0.612,-5.71,9.703
DisplayName_Trae Waynes,-5.9763,1.564,-3.821,0.0,-9.041,-2.911
DisplayName_Trai Turner,1.1862,0.651,1.821,0.069,-0.09,2.463
DisplayName_Tramaine Brock,-6.1203,1.969,-3.109,0.002,-9.979,-2.261
DisplayName_Tramon Williams,-4.7924,1.415,-3.387,0.001,-7.565,-2.019
DisplayName_Travaris Cadet,-9.601,5.652,-1.699,0.089,-20.679,1.477
DisplayName_Travis Benjamin,-10.7094,9.075,-1.18,0.238,-28.496,7.077
DisplayName_Travis Frederick,-0.9461,3.778,-0.25,0.802,-8.351,6.458
DisplayName_Travis Kelce,2.185,2.016,1.084,0.278,-1.765,6.135
DisplayName_Travis Rudolph,-7.6079,5.958,-1.277,0.202,-19.286,4.07
DisplayName_Travis Swanson,-6.8723,2.093,-3.283,0.001,-10.975,-2.77
DisplayName_Tre Boston,1.7893,4.124,0.434,0.664,-6.294,9.873
DisplayName_Tre Flowers,-2.3174,2.96,-0.783,0.434,-8.119,3.484
DisplayName_Tre Herndon,-7.6628,3.124,-2.453,0.014,-13.785,-1.54
DisplayName_Tre Madden,-5.3912,4.43,-1.217,0.224,-14.074,3.292
DisplayName_Tre McBride,-1.4006,2.622,-0.534,0.593,-6.54,3.739
DisplayName_Tre Sullivan,-1.2356,3.872,-0.319,0.75,-8.824,6.353
DisplayName_Tre'Davious White,-4.3562,1.417,-3.074,0.002,-7.134,-1.579
DisplayName_Tre'Quan Smith,-2.2691,2.138,-1.061,0.289,-6.46,1.922
DisplayName_Tre'Von Johnson,-3.4668,7.343,-0.472,0.637,-17.859,10.925
DisplayName_Tremaine Edmunds,2.0597,8.028,0.257,0.798,-13.674,17.794
DisplayName_Tremon Smith,-6.8556,5.289,-1.296,0.195,-17.222,3.511
DisplayName_Trent Brown,16.5143,21.638,0.763,0.445,-25.896,58.924
DisplayName_Trent Murphy,-18.2725,19.798,-0.923,0.356,-57.077,20.532
DisplayName_Trent Scott,-2.6589,5.944,-0.447,0.655,-14.308,8.99
DisplayName_Trent Sherfield,-0.6823,4.099,-0.166,0.868,-8.716,7.351
DisplayName_Trent Taylor,-8.854,7.742,-1.144,0.253,-24.028,6.32
DisplayName_Trent Williams,-0.1511,5.356,-0.028,0.977,-10.649,10.347
DisplayName_Trenton Cannon,-16.3049,12.191,-1.337,0.181,-40.2,7.59
DisplayName_Trenton Scott,-0.4185,5.435,-0.077,0.939,-11.071,10.234
DisplayName_Treston Decoud,-0.4617,4.548,-0.102,0.919,-9.375,8.451
DisplayName_Trevon Coley,-4.9622,5.438,-0.913,0.361,-15.62,5.695
DisplayName_Trevon Young,3.9862,11.197,0.356,0.722,-17.959,25.931
DisplayName_Trevor Bates,1.935,9.406,0.206,0.837,-16.5,20.37
DisplayName_Trevor Davis,-7.9537,5.873,-1.354,0.176,-19.464,3.557
DisplayName_Trevor Reilly,-2.9582,5.457,-0.542,0.588,-13.654,7.737
DisplayName_Trevor Siemian,-0.8637,1.588,-0.544,0.587,-3.977,2.25
DisplayName_Trevor Williams,-4.5059,1.485,-3.035,0.002,-7.416,-1.596
DisplayName_Trey Burton,-3.1337,4.362,-0.718,0.473,-11.683,5.416
DisplayName_Trey Edmunds,-0.7572,3.864,-0.196,0.845,-8.33,6.815
DisplayName_Trey Flowers,-15.8502,17.768,-0.892,0.372,-50.674,18.974
DisplayName_Trey Hendrickson,-13.8159,16.539,-0.835,0.404,-46.231,18.599
DisplayName_Trey Hopkins,1.19,0.85,1.4,0.162,-0.476,2.856
DisplayName_Trey Quinn,-4.8575,2.916,-1.666,0.096,-10.573,0.858
DisplayName_Trey Walker,8.512e-15,6.21e-15,1.37,0.171,-3.66e-15,2.07e-14
DisplayName_Treyvon Hester,-6.8167,7.19,-0.948,0.343,-20.908,7.275
DisplayName_Troy Hill,-7.4607,2.804,-2.661,0.008,-12.956,-1.966
DisplayName_Troy Niklas,4.3125,4.617,0.934,0.35,-4.736,13.361
DisplayName_Trumaine Johnson,0.4605,5.659,0.081,0.935,-10.63,11.551
DisplayName_Ty Montgomery,-5.5345,4.042,-1.369,0.171,-13.457,2.388
DisplayName_Ty Nsekhe,1.3623,7.742,0.176,0.86,-13.813,16.537
DisplayName_Ty Sambrailo,-0.1246,4.132,-0.03,0.976,-8.222,7.973
DisplayName_Tye Smith,-4.6538,1.762,-2.642,0.008,-8.106,-1.201
DisplayName_Tyeler Davison,-5.3372,5.788,-0.922,0.357,-16.682,6.008
DisplayName_Tyler Boyd,-4.4861,2.276,-1.971,0.049,-8.946,-0.026
DisplayName_Tyler Bray,-5.2655,4.612,-1.142,0.254,-14.305,3.774
DisplayName_Tyler Catalina,-1.0049,1.059,-0.949,0.343,-3.081,1.072
DisplayName_Tyler Conklin,1.1059,1.454,0.761,0.447,-1.743,3.955
DisplayName_Tyler Eifert,0.2682,1.312,0.204,0.838,-2.302,2.839
DisplayName_Tyler Ervin,-15.1432,12.131,-1.248,0.212,-38.92,8.633
DisplayName_Tyler Higbee,0.5877,1.242,0.473,0.636,-1.846,3.022
DisplayName_Tyler Kroft,-1.5473,1.491,-1.038,0.299,-4.469,1.375
DisplayName_Tyler Lancaster,-4.4901,4.227,-1.062,0.288,-12.775,3.795
DisplayName_Tyler Larsen,-0.1321,5.086,-0.026,0.979,-10.1,9.836
DisplayName_Tyler Lockett,-8.5949,7.206,-1.193,0.233,-22.719,5.529
DisplayName_Tyler Marz,-1.7546,4.304,-0.408,0.684,-10.19,6.681
DisplayName_Tyler Matakevich,-1.1137,4.458,-0.25,0.803,-9.851,7.624
DisplayName_Tyler Patmon,-5.0391,2.073,-2.43,0.015,-9.103,-0.975
DisplayName_Tyler Shatley,-3.8133,2.023,-1.885,0.059,-7.779,0.152
DisplayName_Tyquan Lewis,-16.3159,14.868,-1.097,0.272,-45.457,12.826
DisplayName_Tyrann Mathieu,-2.1371,1.963,-1.089,0.276,-5.984,1.71
DisplayName_Tyreek Burwell,-3.6884,6.741,-0.547,0.584,-16.9,9.523
DisplayName_Tyreek Hill,-7.6124,6.432,-1.184,0.237,-20.218,4.994
DisplayName_Tyrell Adams,-3.4007,2.767,-1.229,0.219,-8.824,2.022
DisplayName_Tyrell Crosby,-3.1045,3.208,-0.968,0.333,-9.392,3.183
DisplayName_Tyrell Williams,-4.2781,1.861,-2.298,0.022,-7.926,-0.63
DisplayName_Tyrique Jarrett,1.1022,4.824,0.228,0.819,-8.354,10.558
DisplayName_Tyrod Taylor,-2.794,2.82,-0.991,0.322,-8.321,2.733
DisplayName_Tyron Smith,0.6328,5.355,0.118,0.906,-9.862,11.128
DisplayName_Tyrone Crawford,-8.6289,10.943,-0.788,0.43,-30.078,12.82
DisplayName_Tyrone Holmes,-20.3555,22.659,-0.898,0.369,-64.766,24.055
DisplayName_Tyrone Swoopes,2.4484,2.345,1.044,0.296,-2.147,7.044
DisplayName_Tyrunn Walker,-5.2144,5.595,-0.932,0.351,-16.181,5.752
DisplayName_Tyson Alualu,-4.0658,7.01,-0.58,0.562,-17.806,9.674
DisplayName_Tyus Bowser,-1.4084,5.517,-0.255,0.799,-12.222,9.405
DisplayName_Tyvis Powell,1.3603,5.986,0.227,0.82,-10.371,13.092
DisplayName_Tyvon Branch,2.6961,5.58,0.483,0.629,-8.24,13.632
DisplayName_Uchenna Nwosu,2.3501,8.573,0.274,0.784,-14.453,19.153
DisplayName_Ufomba Kamalu,-5.3563,9.751,-0.549,0.583,-24.467,13.755
DisplayName_Ukeme Eligwe,-1.3024,5.413,-0.241,0.81,-11.913,9.308
DisplayName_Ulrick John,-1.9411,3.995,-0.486,0.627,-9.771,5.889
DisplayName_Vadal Alexander,1.0485,6.974,0.15,0.881,-12.621,14.718
DisplayName_Vance McDonald,5.4064,4.01,1.348,0.178,-2.453,13.266
DisplayName_Vernon Butler,0.9007,0.651,1.383,0.167,-0.375,2.177
DisplayName_Vernon Davis,-0.9283,1.844,-0.504,0.615,-4.542,2.685
DisplayName_Vernon Hargreaves,-0.444,3.701,-0.12,0.905,-7.698,6.81
DisplayName_Vic Beasley,0.8211,7.085,0.116,0.908,-13.065,14.707
DisplayName_Victor Bolden,-9.0647,8.313,-1.09,0.276,-25.359,7.229
DisplayName_Vince Biegel,1.1113,7.132,0.156,0.876,-12.866,15.089
DisplayName_Vince Mayle,14.4278,11.607,1.243,0.214,-8.321,37.177
DisplayName_Vince Williams,-1.4598,3.822,-0.382,0.703,-8.951,6.032
DisplayName_Vincent Rey,1.1378,5.738,0.198,0.843,-10.108,12.384
DisplayName_Vincent Taylor,-4.2274,5.31,-0.796,0.426,-14.636,6.181
DisplayName_Vincent Valentine,5.6902,1.553,3.664,0.0,2.647,8.734
DisplayName_Vinny Curry,-11.5068,13.927,-0.826,0.409,-38.803,15.79
DisplayName_Vinston Painter,-1.3181,6.686,-0.197,0.844,-14.423,11.787
DisplayName_Virgil Green,0.8124,1.0,0.812,0.417,-1.148,2.773
DisplayName_Vita Vea,4.514,4.837,0.933,0.351,-4.966,13.994
DisplayName_Vladimir Ducasse,4.183,4.159,1.006,0.315,-3.968,12.334
DisplayName_Von Miller,2.1342,8.166,0.261,0.794,-13.871,18.139
DisplayName_Vonn Bell,1.5444,4.365,0.354,0.723,-7.011,10.1
DisplayName_Vontae Davis,1.0479,4.354,0.241,0.81,-7.486,9.582
DisplayName_Vontarrius Dora,-15.1525,20.489,-0.74,0.46,-55.311,25.006
DisplayName_Vontaze Burfict,4.9949,9.729,0.513,0.608,-14.075,24.064
DisplayName_Vyncint Smith,-5.9529,2.607,-2.283,0.022,-11.063,-0.843
DisplayName_Walt Aikens,-6.1698,3.062,-2.015,0.044,-12.172,-0.168
DisplayName_Wayne Gallman,-8.4539,5.486,-1.541,0.123,-19.207,2.299
DisplayName_Wendell Smallwood,-8.1745,5.915,-1.382,0.167,-19.768,3.419
DisplayName_Wes Horton,-16.3695,18.004,-0.909,0.363,-51.658,18.919
DisplayName_Wes Schweitzer,0.3285,0.391,0.841,0.4,-0.437,1.094
DisplayName_Wesley Johnson,-7.0696,1.963,-3.601,0.0,-10.918,-3.221
DisplayName_Wesley Woodyard,-1.2779,3.922,-0.326,0.745,-8.965,6.409
DisplayName_Weston Richburg,-10.4548,5.424,-1.928,0.054,-21.085,0.176
DisplayName_Whitney Mercilus,4.2176,10.309,0.409,0.682,-15.988,24.423
DisplayName_Will Beatty,-1.2054,5.539,-0.218,0.828,-12.061,9.65
DisplayName_Will Clapp,-2.8661,2.088,-1.373,0.17,-6.958,1.226
DisplayName_Will Clarke,-12.9653,15.311,-0.847,0.397,-42.974,17.043
DisplayName_Will Compton,-0.9031,4.366,-0.207,0.836,-9.461,7.654
DisplayName_Will Dissly,4.3548,4.102,1.062,0.288,-3.685,12.395
DisplayName_Will Fuller,-8.407,6.712,-1.253,0.21,-21.562,4.748
DisplayName_Will Hernandez,4.4476,3.798,1.171,0.242,-2.996,11.892
DisplayName_Will Holden,3.2948,4.328,0.761,0.446,-5.187,11.777
DisplayName_Will Parks,-2.5956,1.724,-1.506,0.132,-5.974,0.783
DisplayName_Will Tye,2.2064,2.756,0.801,0.423,-3.195,7.608
DisplayName_William Gay,-1.7904,3.307,-0.541,0.588,-8.273,4.692
DisplayName_William Gholston,-11.6204,13.623,-0.853,0.394,-38.321,15.08
DisplayName_William Hayes,-15.8734,17.852,-0.889,0.374,-50.863,19.117
DisplayName_William Jackson,-3.6497,1.607,-2.272,0.023,-6.799,-0.501
DisplayName_Willie Henry,-12.6096,11.77,-1.071,0.284,-35.679,10.459
DisplayName_Willie Snead,-1.7994,2.51,-0.717,0.473,-6.719,3.121
DisplayName_Willie Young,5.0437,10.361,0.487,0.626,-15.263,25.35
DisplayName_Wyatt Teller,-0.0787,0.644,-0.122,0.903,-1.341,1.183
DisplayName_Xavien Howard,-2.5035,2.326,-1.077,0.282,-7.061,2.054
DisplayName_Xavier Cooper,-9.2517,8.488,-1.09,0.276,-25.888,7.384
DisplayName_Xavier Grimble,2.8026,2.442,1.148,0.251,-1.984,7.589
DisplayName_Xavier Rhodes,1.9685,7.123,0.276,0.782,-11.992,15.929
DisplayName_Xavier Su'a-Filo,-0.3019,1.18,-0.256,0.798,-2.615,2.011
DisplayName_Xavier Williams,-5.0027,5.791,-0.864,0.388,-16.353,6.347
DisplayName_Xavier Woods,0.6378,3.596,0.177,0.859,-6.41,7.685
DisplayName_Xavier Woodson-Luster,-6.9926,2.32,-3.014,0.003,-11.539,-2.446
DisplayName_Yannick Ngakoue,-21.1371,23.1,-0.915,0.36,-66.412,24.138
DisplayName_Za'Darius Smith,7.9365,14.211,0.558,0.577,-19.917,35.79
DisplayName_Zac Kerin,-3.1487,3.236,-0.973,0.331,-9.492,3.194
DisplayName_Zach Banner,9.4874,15.912,0.596,0.551,-21.7,40.675
DisplayName_Zach Brown,3.7562,8.63,0.435,0.663,-13.159,20.671
DisplayName_Zach Cunningham,-0.9708,4.932,-0.197,0.844,-10.638,8.696
DisplayName_Zach Ertz,-0.688,1.398,-0.492,0.623,-3.428,2.052
DisplayName_Zach Fulton,1.845,1.924,0.959,0.338,-1.926,5.616
DisplayName_Zach Kerr,5.5018,5.348,1.029,0.304,-4.98,15.983
DisplayName_Zach Line,-4.2567,5.029,-0.846,0.397,-14.114,5.6
DisplayName_Zach Miller,-0.952,2.691,-0.354,0.723,-6.226,4.322
DisplayName_Zach Moore,-12.1456,15.322,-0.793,0.428,-42.177,17.885
DisplayName_Zach Pascal,-0.3551,2.786,-0.127,0.899,-5.816,5.106
DisplayName_Zach Sieler,-6.2273,11.92,-0.522,0.601,-29.59,17.135
DisplayName_Zach Sterup,-0.6244,5.877,-0.106,0.915,-12.144,10.895
DisplayName_Zach Strief,-0.8331,5.325,-0.156,0.876,-11.27,9.604
DisplayName_Zach Vigil,-0.0364,5.024,-0.007,0.994,-9.884,9.811
DisplayName_Zach Zenner,-3.9455,3.022,-1.305,0.192,-9.869,1.978
DisplayName_Zack Martin,0.9422,0.457,2.064,0.039,0.047,1.837
DisplayName_Zaire Anderson,-5.9873,2.067,-2.897,0.004,-10.038,-1.937
DisplayName_Zaire Franklin,-1.333,4.754,-0.28,0.779,-10.65,7.984
DisplayName_Zane Beadles,-2.2047,2.581,-0.854,0.393,-7.264,2.855
DisplayName_Zay Jones,-5.5988,2.775,-2.018,0.044,-11.038,-0.16
DisplayName_Zeke Turner,-8.4643,3.314,-2.554,0.011,-14.959,-1.97
DisplayName_Ziggy Hood,-3.7216,2.975,-1.251,0.211,-9.553,2.11
PossessionTeam_Home,-0.1639,0.204,-0.804,0.422,-0.564,0.236
FieldPosition_Home,-0.0115,0.022,-0.53,0.596,-0.054,0.031
OffenseFormation_EMPTY,1.8088,1.539,1.175,0.24,-1.208,4.825
OffenseFormation_I_FORM,0.9261,1.505,0.616,0.538,-2.023,3.875
OffenseFormation_JUMBO,1.0304,1.509,0.683,0.495,-1.927,3.987
OffenseFormation_PISTOL,0.978,1.505,0.65,0.516,-1.973,3.929
OffenseFormation_SHOTGUN,0.9276,1.504,0.617,0.538,-2.021,3.876
OffenseFormation_SINGLEBACK,1.1158,1.504,0.742,0.458,-1.833,4.064
OffenseFormation_WILDCAT,1.0005,1.518,0.659,0.51,-1.975,3.975
"OffensePersonnel_0 RB, 1 TE, 4 WR",2.3506,1.07,2.198,0.028,0.254,4.447
"OffensePersonnel_0 RB, 2 TE, 3 WR",3.1261,1.259,2.483,0.013,0.659,5.594
"OffensePersonnel_0 RB, 3 TE, 2 WR",-1.8237,1.373,-1.329,0.184,-4.514,0.867
"OffensePersonnel_1 RB, 0 TE, 3 WR,1 DB",12.1166,1.379,8.788,0.0,9.414,14.819
"OffensePersonnel_1 RB, 0 TE, 4 WR",4.0513,1.068,3.793,0.0,1.958,6.145
"OffensePersonnel_1 RB, 1 TE, 2 WR,1 DB",7.9022,1.162,6.801,0.0,5.625,10.18
"OffensePersonnel_1 RB, 1 TE, 2 WR,1 DL",2.7778,1.091,2.547,0.011,0.64,4.915
"OffensePersonnel_1 RB, 1 TE, 2 WR,1 LB",3.6539,1.501,2.434,0.015,0.712,6.596
"OffensePersonnel_1 RB, 1 TE, 3 WR",3.595,1.055,3.407,0.001,1.527,5.663
"OffensePersonnel_1 RB, 2 TE, 1 WR,1 DB",4.137,1.369,3.023,0.003,1.455,6.819
"OffensePersonnel_1 RB, 2 TE, 1 WR,1 DL",4.3472,1.065,4.081,0.0,2.259,6.435
"OffensePersonnel_1 RB, 2 TE, 1 WR,1 LB",7.1602,1.169,6.124,0.0,4.869,9.452
"OffensePersonnel_1 RB, 2 TE, 2 WR",3.5636,1.056,3.375,0.001,1.494,5.633
"OffensePersonnel_1 RB, 2 TE, 3 WR",1.8377,2.061,0.892,0.373,-2.202,5.877
"OffensePersonnel_1 RB, 3 TE, 0 WR,1 DB",4.3967,1.984,2.216,0.027,0.508,8.285
"OffensePersonnel_1 RB, 3 TE, 0 WR,1 DL",4.0549,1.131,3.587,0.0,1.839,6.271
"OffensePersonnel_1 RB, 3 TE, 0 WR,1 LB",5.3878,1.287,4.185,0.0,2.864,7.911
"OffensePersonnel_1 RB, 3 TE, 1 WR",3.5839,1.057,3.392,0.001,1.513,5.655
"OffensePersonnel_1 RB, 4 TE, 0 WR",3.9949,1.213,3.294,0.001,1.618,6.372
