,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Michael Ola,-2.0901,3.611,-0.579,0.563,-9.168,4.988
DisplayName_Michael Pierce,4.2172,3.408,1.237,0.216,-2.462,10.897
DisplayName_Michael Roberts,3.6869,3.345,1.102,0.27,-2.87,10.244
DisplayName_Michael Schofield,-3.8327,3.896,-0.984,0.325,-11.469,3.803
DisplayName_Michael Thomas,-1.3442,2.19,-0.614,0.539,-5.637,2.948
DisplayName_Michael Wilhoite,3.3665,7.109,0.474,0.636,-10.566,17.299
DisplayName_Mike Adams,2.019,4.374,0.462,0.644,-6.554,10.592
DisplayName_Mike Boone,-8.9195,6.96,-1.282,0.2,-22.561,4.722
DisplayName_Mike Daniels,-4.2784,5.411,-0.791,0.429,-14.883,6.327
DisplayName_Mike Davis,-3.2438,3.06,-1.06,0.289,-9.24,2.753
DisplayName_Mike Evans,2.2844,6.679,0.342,0.732,-10.807,15.375
DisplayName_Mike Ford,-5.1492,1.767,-2.914,0.004,-8.613,-1.685
DisplayName_Mike Gesicki,-1.7353,1.233,-1.407,0.159,-4.153,0.682
DisplayName_Mike Gillislee,-7.8881,5.443,-1.449,0.147,-18.556,2.78
DisplayName_Mike Glennon,-0.273,1.29,-0.212,0.832,-2.801,2.255
DisplayName_Mike Hilton,-6.4732,2.815,-2.3,0.021,-11.99,-0.956
DisplayName_Mike Hughes,-4.5932,1.759,-2.611,0.009,-8.041,-1.145
DisplayName_Mike Hull,-1.4868,3.73,-0.399,0.69,-8.798,5.824
DisplayName_Mike Iupati,4.1388,4.255,0.973,0.331,-4.202,12.479
DisplayName_Mike Love,-18.1743,20.693,-0.878,0.38,-58.732,22.383
DisplayName_Mike McGlinchey,-2.5729,3.855,-0.667,0.505,-10.129,4.984
DisplayName_Mike Mitchell,5.6322,8.493,0.663,0.507,-11.015,22.279
DisplayName_Mike Pennel,2.9664,4.045,0.733,0.463,-4.961,10.894
DisplayName_Mike Person,-7.6365,3.14,-2.432,0.015,-13.791,-1.482
DisplayName_Mike Pouncey,-8.2346,3.396,-2.425,0.015,-14.891,-1.578
DisplayName_Mike Remmers,-2.6345,3.0,-0.878,0.38,-8.515,3.246
DisplayName_Mike Thomas,-9.5784,5.548,-1.727,0.084,-20.452,1.295
DisplayName_Mike Tolbert,0.5058,1.316,0.384,0.701,-2.074,3.085
DisplayName_Mike Tyson,0.7242,5.041,0.144,0.886,-9.157,10.605
DisplayName_Mike Wallace,-4.4566,2.931,-1.521,0.128,-10.201,1.288
DisplayName_Mike Williams,-0.0357,3.377,-0.011,0.992,-6.654,6.582
DisplayName_Miles Killebrew,5.6489,8.689,0.65,0.516,-11.382,22.679
