,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Elijah Lee,-3.8243,3.033,-1.261,0.207,-9.769,2.121
DisplayName_Elijah McGuire,-6.591,4.429,-1.488,0.137,-15.271,2.089
DisplayName_Elijah Nkansah,2.005e-14,2.72e-14,0.737,0.461,-3.33e-14,7.34e-14
DisplayName_Elijah Qualls,0.2048,2.963,0.069,0.945,-5.603,6.012
DisplayName_Elijah Wilkinson,2.161,7.651,0.282,0.778,-12.834,17.156
DisplayName_Elijhaa Penny,-1.676,2.84,-0.59,0.555,-7.243,3.891
DisplayName_Elvis Dumervil,-16.2576,21.774,-0.747,0.455,-58.935,26.419
DisplayName_Emanuel Byrd,-3.5953,5.904,-0.609,0.543,-15.167,7.976
DisplayName_Emmanuel Lamur,0.9421,6.761,0.139,0.889,-12.31,14.194
DisplayName_Emmanuel Ogbah,-12.2376,15.124,-0.809,0.418,-41.881,17.406
DisplayName_Emmanuel Sanders,-8.8806,7.755,-1.145,0.252,-24.079,6.318
DisplayName_Emmett Cleary,-2.582,6.517,-0.396,0.692,-15.355,10.191
DisplayName_Equanimeous St. Brown,-1.0556,2.427,-0.435,0.664,-5.813,3.702
DisplayName_Ereck Flowers,1.6031,7.644,0.21,0.834,-13.378,16.585
DisplayName_Eric Berry,2.9754,6.163,0.483,0.629,-9.104,15.055
DisplayName_Eric Decker,-2.0317,2.612,-0.778,0.437,-7.152,3.088
DisplayName_Eric Ebron,-1.165,1.06,-1.1,0.272,-3.242,0.912
DisplayName_Eric Fisher,-2.3302,3.914,-0.595,0.552,-10.002,5.341
DisplayName_Eric Kendricks,-2.303,3.678,-0.626,0.531,-9.511,4.905
DisplayName_Eric Kush,0.6203,0.867,0.716,0.474,-1.078,2.319
DisplayName_Eric Lee,-18.306,20.663,-0.886,0.376,-58.804,22.192
DisplayName_Eric Murray,0.3031,2.891,0.105,0.916,-5.362,5.969
DisplayName_Eric Reid,3.1621,6.291,0.503,0.615,-9.168,15.492
DisplayName_Eric Rowe,-2.544,3.652,-0.697,0.486,-9.701,4.613
DisplayName_Eric Saubert,0.3735,1.161,0.322,0.748,-1.902,2.649
DisplayName_Eric Tomlinson,1.0887,2.711,0.402,0.688,-4.224,6.401
DisplayName_Eric Weddle,-1.6194,2.105,-0.769,0.442,-5.745,2.507
DisplayName_Eric Weems,-4.5644,4.871,-0.937,0.349,-14.111,4.982
DisplayName_Eric Wilson,-2.7296,3.151,-0.866,0.386,-8.905,3.446
