,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Kasim Edebali,2.5749,9.172,0.281,0.779,-15.401,20.551
DisplayName_Kavon Frazier,5.9158,9.155,0.646,0.518,-12.027,23.859
DisplayName_Kawann Short,-4.3226,4.169,-1.037,0.3,-12.493,3.848
DisplayName_Kayvon Webster,-4.3593,1.638,-2.661,0.008,-7.571,-1.148
DisplayName_Keanu Neal,2.455,5.85,0.42,0.675,-9.012,13.922
DisplayName_Keelan Cole,-6.7211,4.157,-1.617,0.106,-14.868,1.426
DisplayName_Keenan Allen,-1.4252,2.239,-0.636,0.525,-5.814,2.964
DisplayName_Keenan Reynolds,-8.727,5.374,-1.624,0.104,-19.259,1.805
DisplayName_Keenan Robinson,1.3927,6.841,0.204,0.839,-12.015,14.801
DisplayName_KeiVarae Russell,-4.7613,1.997,-2.385,0.017,-8.674,-0.848
DisplayName_Keion Crossen,-1.7602,4.67,-0.377,0.706,-10.914,7.393
DisplayName_Keionta Davis,-10.5868,13.746,-0.77,0.441,-37.529,16.356
DisplayName_Keishawn Bierria,-4.908,3.166,-1.55,0.121,-11.114,1.298
DisplayName_Keith Ford,-4.3272,3.658,-1.183,0.237,-11.496,2.842
DisplayName_Keith Kirkwood,-1.7892,2.077,-0.861,0.389,-5.86,2.282
DisplayName_Keith McGill,-0.6015,5.605,-0.107,0.915,-11.587,10.384
DisplayName_Keith Reaser,-6.1271,2.391,-2.563,0.01,-10.813,-1.442
DisplayName_Keith Smith,-2.2444,2.99,-0.751,0.453,-8.105,3.616
DisplayName_Keith Tandy,1.689,4.554,0.371,0.711,-7.236,10.614
DisplayName_Keke Coutee,-8.9509,7.791,-1.149,0.251,-24.221,6.319
DisplayName_Kelechi Osemele,4.4297,4.435,0.999,0.318,-4.262,13.122
DisplayName_Kellen Clemens,0.0891,2.123,0.042,0.967,-4.073,4.251
DisplayName_Kelvin Beachum,-3.3837,2.894,-1.169,0.242,-9.055,2.287
DisplayName_Kelvin Benjamin,5.6751,10.553,0.538,0.591,-15.009,26.359
DisplayName_Kelvin Sheppard,2.4024,8.0,0.3,0.764,-13.277,18.082
DisplayName_Kemal Ishmael,1.3642,4.562,0.299,0.765,-7.577,10.305
DisplayName_Kemoko Turay,-21.1266,22.805,-0.926,0.354,-65.824,23.571
DisplayName_Ken Crawley,-9.1638,3.948,-2.321,0.02,-16.901,-1.426
DisplayName_Kendall Fuller,-2.2432,2.097,-1.07,0.285,-6.354,1.868
DisplayName_Kendall Lamm,-2.8823,3.007,-0.959,0.338,-8.776,3.011
DisplayName_Kendall Wright,-7.1196,6.464,-1.101,0.271,-19.788,5.549
DisplayName_Kendell Beckwith,0.7509,6.356,0.118,0.906,-11.708,13.209
DisplayName_Kendrick Bourne,-3.374,2.37,-1.423,0.155,-8.02,1.272
DisplayName_Kendrick Lewis,0.0133,4.287,0.003,0.998,-8.389,8.415
DisplayName_Kenjon Barner,-11.5212,9.365,-1.23,0.219,-29.877,6.835
DisplayName_Kenneth Acker,-3.4856,1.658,-2.103,0.036,-6.735,-0.236
DisplayName_Kenneth Dixon,-0.6002,2.618,-0.229,0.819,-5.731,4.53
DisplayName_Kenneth Durden,-11.3447,5.054,-2.245,0.025,-21.25,-1.44
DisplayName_Kenny Britt,2.6955,6.668,0.404,0.686,-10.373,15.764
DisplayName_Kenny Clark,-1.0917,0.562,-1.941,0.052,-2.194,0.011
DisplayName_Kenny Golladay,-2.3534,2.254,-1.044,0.296,-6.77,2.063
DisplayName_Kenny Ladler,-7.3135,5.404,-1.353,0.176,-17.905,3.278
DisplayName_Kenny Moore,-4.5195,1.775,-2.546,0.011,-7.998,-1.04
DisplayName_Kenny Stills,-3.9994,2.484,-1.61,0.107,-8.869,0.87
DisplayName_Kenny Vaccaro,4.6216,6.659,0.694,0.488,-8.43,17.673
DisplayName_Kenny Wiggins,-0.6163,0.586,-1.052,0.293,-1.765,0.532
DisplayName_Kenny Young,-2.1061,4.371,-0.482,0.63,-10.673,6.461
DisplayName_Kent Perkins,5.2075,5.396,0.965,0.335,-5.369,15.783
DisplayName_Kentrell Brice,0.5409,3.112,0.174,0.862,-5.558,6.64
DisplayName_Kentrell Brothers,0.9769,6.691,0.146,0.884,-12.138,14.091
DisplayName_Kenyan Drake,-7.4357,5.283,-1.408,0.159,-17.79,2.918
DisplayName_Kerry Hyder,-12.0118,16.409,-0.732,0.464,-44.173,20.15
DisplayName_Kerry Wynn,-17.6473,19.146,-0.922,0.357,-55.173,19.879
DisplayName_Kerryon Johnson,-5.2425,4.941,-1.061,0.289,-14.928,4.443
DisplayName_Kerwynn Williams,-9.0501,8.467,-1.069,0.285,-25.645,7.545
DisplayName_Kevin Byard,3.5293,6.226,0.567,0.571,-8.673,15.732
DisplayName_Kevin Dodd,8.2002,15.572,0.527,0.598,-22.32,38.721
DisplayName_Kevin Hogan,-1.1252,2.404,-0.468,0.64,-5.838,3.587
DisplayName_Kevin Johnson,-6.1478,2.609,-2.356,0.018,-11.261,-1.034
DisplayName_Kevin King,-4.4553,2.263,-1.969,0.049,-8.89,-0.021
DisplayName_Kevin Minter,2.0259,7.378,0.275,0.784,-12.434,16.486
DisplayName_Kevin Pamphile,-0.2927,0.52,-0.563,0.574,-1.312,0.727
DisplayName_Kevin Peterson,-6.1526,2.817,-2.184,0.029,-11.674,-0.632
DisplayName_Kevin Pierre-Louis,-2.6457,3.273,-0.808,0.419,-9.061,3.769
DisplayName_Kevin Toliver,-0.9039,3.562,-0.254,0.8,-7.884,6.077
DisplayName_Kevin White,0.6556,3.099,0.212,0.832,-5.418,6.73
DisplayName_Kevin Zeitler,0.6572,0.463,1.42,0.156,-0.25,1.565
DisplayName_Kevon Seymour,-7.4797,2.657,-2.815,0.005,-12.687,-2.272
DisplayName_KhaDarel Hodge,-5.9237,2.264,-2.617,0.009,-10.361,-1.487
DisplayName_Khalif Barnes,-2.5278,5.843,-0.433,0.665,-13.98,8.924
DisplayName_Khalil Mack,7.2773,13.451,0.541,0.589,-19.087,33.642
DisplayName_Khari Lee,1.6305,1.359,1.2,0.23,-1.033,4.294
DisplayName_Khyri Thornton,-2.8927,4.42,-0.654,0.513,-11.555,5.77
DisplayName_Kiko Alonso,-0.8266,5.186,-0.159,0.873,-10.992,9.339
DisplayName_Kirk Cousins,-6.9086,6.579,-1.05,0.294,-19.803,5.986
DisplayName_Kolton Miller,-0.377,6.398,-0.059,0.953,-12.917,12.163
DisplayName_Kony Ealy,-12.5664,15.136,-0.83,0.406,-42.233,17.1
DisplayName_Korey Cunningham,-5.7292,2.233,-2.565,0.01,-10.106,-1.352
DisplayName_Korey Toomer,-1.1177,4.253,-0.263,0.793,-9.453,7.218
DisplayName_Krishawn Hogan,-2.3539,3.948,-0.596,0.551,-10.091,5.383
DisplayName_Kurt Coleman,1.8729,5.164,0.363,0.717,-8.249,11.994
DisplayName_Kurtis Drummond,1.56,3.101,0.503,0.615,-4.517,7.637
DisplayName_Kwon Alexander,-3.6465,2.463,-1.481,0.139,-8.474,1.181
DisplayName_Kyle Allen,-6.0106,4.275,-1.406,0.16,-14.39,2.368
DisplayName_Kyle Carter,-0.5807,3.05,-0.19,0.849,-6.558,5.396
DisplayName_Kyle Emanuel,2.6128,8.178,0.319,0.749,-13.416,18.641
DisplayName_Kyle Fuller,-3.9519,1.489,-2.653,0.008,-6.871,-1.033
DisplayName_Kyle Juszczyk,1.0269,4.036,0.254,0.799,-6.883,8.937
DisplayName_Kyle Kalis,-2.7628,2.432,-1.136,0.256,-7.53,2.005
DisplayName_Kyle Lauletta,-0.8823,2.512,-0.351,0.725,-5.805,4.041
DisplayName_Kyle Long,5.0775,4.449,1.141,0.254,-3.642,13.797
DisplayName_Kyle Love,-0.2758,1.508,-0.183,0.855,-3.231,2.68
DisplayName_Kyle Murphy,-5.5491,2.412,-2.301,0.021,-10.276,-0.823
DisplayName_Kyle Peko,-4.8025,6.923,-0.694,0.488,-18.371,8.766
DisplayName_Kyle Rudolph,3.2011,3.236,0.989,0.323,-3.141,9.543
DisplayName_Kyle Van Noy,2.1151,8.176,0.259,0.796,-13.909,18.139
DisplayName_Kyle Wilber,-0.6828,5.475,-0.125,0.901,-11.413,10.048
DisplayName_Kyle Williams,-5.9818,7.396,-0.809,0.419,-20.478,8.514
DisplayName_Kyler Fackrell,-0.4441,6.659,-0.067,0.947,-13.496,12.608
DisplayName_Kylie Fitts,5.1441,11.163,0.461,0.645,-16.735,27.023
DisplayName_Kyzir White,-8.361,2.463,-3.395,0.001,-13.188,-3.534
DisplayName_L.J. Fort,-1.8203,3.751,-0.485,0.627,-9.172,5.532
DisplayName_L.T. Walton,-3.8772,6.918,-0.56,0.575,-17.437,9.683
DisplayName_La'el Collins,0.9453,5.47,0.173,0.863,-9.776,11.666
DisplayName_LaAdrian Waddle,-2.9409,4.018,-0.732,0.464,-10.816,4.934
DisplayName_LaRoy Reynolds,-0.3319,6.199,-0.054,0.957,-12.481,11.817
DisplayName_LaTroy Lewis,3.5344,9.669,0.366,0.715,-15.417,22.486
DisplayName_Lafayette Pitts,-2.5294,1.872,-1.351,0.177,-6.198,1.139
DisplayName_Laken Tomlinson,0.2578,0.674,0.383,0.702,-1.063,1.578
DisplayName_Lamar Jackson,-2.7403,3.713,-0.738,0.461,-10.019,4.538
DisplayName_Lamar Miller,-2.7216,2.992,-0.91,0.363,-8.586,3.143
DisplayName_Lamarcus Joyner,-2.7901,2.521,-1.107,0.268,-7.731,2.15
DisplayName_Lamarr Houston,8.8964,14.864,0.599,0.549,-20.237,38.029
DisplayName_Lance Dunbar,-9.6385,11.67,-0.826,0.409,-32.51,13.233
DisplayName_Lance Kendricks,0.0098,1.492,0.007,0.995,-2.914,2.934
DisplayName_Lance Lenoir,0.4928,3.669,0.134,0.893,-6.699,7.684
DisplayName_Landon Collins,4.7352,7.756,0.611,0.542,-10.466,19.937
DisplayName_Landry Jones,0.6956,1.412,0.493,0.622,-2.072,3.463
DisplayName_Lane Johnson,-1.3085,4.493,-0.291,0.771,-10.114,7.497
DisplayName_Lane Taylor,3.7643,2.948,1.277,0.202,-2.014,9.543
DisplayName_Laquon Treadwell,-0.5866,2.984,-0.197,0.844,-6.434,5.261
DisplayName_Lardarius Webb,-4.4134,2.455,-1.797,0.072,-9.226,0.399
DisplayName_Laremy Tunsil,-2.1148,3.635,-0.582,0.561,-9.239,5.009
DisplayName_Larry Fitzgerald,-0.8001,3.487,-0.229,0.819,-7.635,6.035
DisplayName_Larry Ogunjobi,-6.5359,6.975,-0.937,0.349,-20.207,7.135
DisplayName_Larry Pinkard,-6.5999,5.215,-1.266,0.206,-16.821,3.621
DisplayName_Larry Warford,1.8797,1.077,1.746,0.081,-0.231,3.99
DisplayName_Latavius Murray,-3.1555,2.235,-1.412,0.158,-7.536,1.225
DisplayName_Laurent Duvernay-Tardif,1.8225,1.944,0.937,0.349,-1.988,5.633
DisplayName_Lavar Edwards,4.8379,14.026,0.345,0.73,-22.653,32.329
DisplayName_Lavonte David,-1.884,3.817,-0.494,0.622,-9.365,5.597
DisplayName_Lawrence Guy,-4.5745,4.26,-1.074,0.283,-12.924,3.775
DisplayName_Lawrence Thomas,9.0861,9.813,0.926,0.354,-10.147,28.319
DisplayName_Lawrence Timmons,1.0043,6.178,0.163,0.871,-11.104,13.112
DisplayName_Le'Raven Clark,-1.6537,1.563,-1.058,0.29,-4.717,1.409
DisplayName_Le'Veon Bell,-3.406,2.387,-1.427,0.154,-8.084,1.272
DisplayName_LeGarrette Blount,2.8005,5.896,0.475,0.635,-8.755,14.356
DisplayName_LeSean McCoy,-7.522,5.421,-1.387,0.165,-18.148,3.104
DisplayName_LeShaun Sims,-2.5002,3.202,-0.781,0.435,-8.775,3.775
DisplayName_LeShun Daniels,-2.1117,4.385,-0.482,0.63,-10.706,6.483
DisplayName_Lee Smith,2.6911,3.24,0.83,0.406,-3.66,9.042
DisplayName_Leger Douzable,-9.4072,12.623,-0.745,0.456,-34.147,15.333
DisplayName_Leighton Vander Esch,3.1175,9.752,0.32,0.749,-15.996,22.231
DisplayName_Lenzy Pipkins,-3.8179,1.828,-2.089,0.037,-7.4,-0.236
DisplayName_Leon Hall,-3.5826,1.643,-2.18,0.029,-6.804,-0.361
DisplayName_Leon Jacobs,0.1104,6.947,0.016,0.987,-13.506,13.727
DisplayName_Leon McQuay III,-1.5793,2.496,-0.633,0.527,-6.471,3.312
DisplayName_Leonard Floyd,-1.867,5.334,-0.35,0.726,-12.321,8.587
DisplayName_Leonard Fournette,-2.58,2.262,-1.141,0.254,-7.013,1.852
DisplayName_Leonard Johnson,-3.6968,1.671,-2.212,0.027,-6.973,-0.421
DisplayName_Leonard Wester,-5.8973,2.344,-2.516,0.012,-10.491,-1.304
DisplayName_Leonard Williams,-5.7847,7.691,-0.752,0.452,-20.858,9.289
DisplayName_Leonte Carroo,-0.8063,3.276,-0.246,0.806,-7.228,5.615
DisplayName_Lerentee McCray,-20.815,22.383,-0.93,0.352,-64.684,23.054
DisplayName_Levi Wallace,-8.5976,4.146,-2.074,0.038,-16.724,-0.471
DisplayName_Levine Toilolo,2.9499,3.915,0.753,0.451,-4.724,10.624
DisplayName_Lewis Neal,-11.8328,13.805,-0.857,0.391,-38.891,15.225
DisplayName_Linval Joseph,-0.7362,0.613,-1.2,0.23,-1.938,0.466
DisplayName_Logan Paulsen,4.2482,4.164,1.02,0.308,-3.914,12.41
DisplayName_Logan Ryan,-3.7882,1.583,-2.393,0.017,-6.891,-0.685
DisplayName_Logan Thomas,-1.8337,1.534,-1.195,0.232,-4.841,1.174
DisplayName_Lorenzo Alexander,1.923,6.987,0.275,0.783,-11.772,15.618
DisplayName_Lorenzo Carter,-0.1518,8.054,-0.019,0.985,-15.937,15.634
DisplayName_Lorenzo Doss,-4.4783,3.808,-1.176,0.24,-11.942,2.986
DisplayName_Lorenzo Jerome,3.513,4.612,0.762,0.446,-5.526,12.552
DisplayName_Louis Murphy,-5.1099,2.851,-1.793,0.073,-10.697,0.477
DisplayName_Lucas Patrick,0.2251,0.736,0.306,0.76,-1.217,1.667
DisplayName_Luke Bowanko,-8.9925,3.023,-2.975,0.003,-14.917,-3.068
DisplayName_Luke Joeckel,-3.148,2.266,-1.389,0.165,-7.59,1.294
DisplayName_Luke Kuechly,-1.2937,4.938,-0.262,0.793,-10.973,8.386
DisplayName_Luke Stocker,0.2534,0.989,0.256,0.798,-1.686,2.192
DisplayName_Luke Willson,-0.0454,0.951,-0.048,0.962,-1.909,1.818
DisplayName_Lyndon Johnson,-13.3459,12.429,-1.074,0.283,-37.706,11.015
DisplayName_M.J. Stewart,-0.6983,3.873,-0.18,0.857,-8.289,6.893
DisplayName_Mack Brown,-6.5456,5.33,-1.228,0.219,-16.992,3.901
DisplayName_Mack Hollins,1.0925,4.165,0.262,0.793,-7.072,9.257
DisplayName_Mackensie Alexander,-4.131,1.588,-2.602,0.009,-7.243,-1.019
DisplayName_Malachi Dupre,-6.9465,5.18,-1.341,0.18,-17.1,3.207
DisplayName_Malcolm Brown,-4.0385,2.841,-1.422,0.155,-9.606,1.529
DisplayName_Malcolm Butler,-5.1669,1.574,-3.282,0.001,-8.253,-2.081
DisplayName_Malcolm Jenkins,0.9788,3.983,0.246,0.806,-6.828,8.786
DisplayName_Malcolm Smith,-2.5942,3.03,-0.856,0.392,-8.532,3.344
DisplayName_Malcom Brown,-2.3369,2.74,-0.853,0.394,-7.707,3.034
DisplayName_Maliek Collins,-5.8218,6.072,-0.959,0.338,-17.723,6.079
DisplayName_Malik Hooker,2.3016,6.01,0.383,0.702,-9.479,14.082
DisplayName_Malik Jackson,-11.6197,11.384,-1.021,0.307,-33.932,10.692
DisplayName_Malik Jefferson,5.035,6.634,0.759,0.448,-7.966,18.036
DisplayName_Malik Turner,-4.1434,3.16,-1.311,0.19,-10.336,2.05
DisplayName_Manti Te'o,0.1852,5.901,0.031,0.975,-11.381,11.752
DisplayName_MarQueis Gray,3.5187,2.271,1.55,0.121,-0.931,7.969
DisplayName_Marcedes Lewis,3.5519,3.777,0.94,0.347,-3.851,10.955
DisplayName_Marcell Ateman,-1.2229,2.719,-0.45,0.653,-6.552,4.106
DisplayName_Marcell Dareus,0.4172,0.717,0.582,0.561,-0.989,1.823
DisplayName_Marcell Harris,1.6846,5.391,0.313,0.755,-8.881,12.25
DisplayName_Marcus Allen,4.7186,7.62,0.619,0.536,-10.217,19.655
DisplayName_Marcus Burley,-1.1128,3.656,-0.304,0.761,-8.278,6.052
DisplayName_Marcus Cannon,3.6514,9.283,0.393,0.694,-14.543,21.846
DisplayName_Marcus Cooper,-4.8756,1.793,-2.719,0.007,-8.39,-1.362
DisplayName_Marcus Davenport,-17.3505,18.121,-0.958,0.338,-52.866,18.165
DisplayName_Marcus Gilbert,2.4603,7.928,0.31,0.756,-13.078,17.998
DisplayName_Marcus Gilchrist,1.1808,3.254,0.363,0.717,-5.197,7.559
DisplayName_Marcus Johnson,-2.4869,2.204,-1.128,0.259,-6.808,1.834
DisplayName_Marcus Kemp,-5.3865,2.364,-2.278,0.023,-10.021,-0.752
DisplayName_Marcus Mariota,-1.1604,1.107,-1.048,0.295,-3.33,1.009
DisplayName_Marcus Maye,1.1351,4.769,0.238,0.812,-8.213,10.483
DisplayName_Marcus Murphy,-9.5699,9.337,-1.025,0.305,-27.869,8.73
DisplayName_Marcus Peters,-4.086,1.772,-2.306,0.021,-7.56,-0.613
DisplayName_Marcus Rios,-6.8948,3.177,-2.17,0.03,-13.121,-0.668
DisplayName_Marcus Sherels,-7.4942,5.331,-1.406,0.16,-17.943,2.955
DisplayName_Marcus Smith,4.7292,10.414,0.454,0.65,-15.681,25.14
DisplayName_Marcus Williams,-2.2562,1.812,-1.245,0.213,-5.808,1.296
DisplayName_Margus Hunt,-12.0083,10.309,-1.165,0.244,-32.214,8.197
DisplayName_Mario Addison,-16.6527,19.239,-0.866,0.387,-54.361,21.056
DisplayName_Mario Edwards,-10.811,13.654,-0.792,0.428,-37.572,15.95
DisplayName_Mark Andrews,0.8785,1.425,0.617,0.537,-1.914,3.671
DisplayName_Mark Barron,-3.1412,2.998,-1.048,0.295,-9.016,2.734
DisplayName_Mark Glowinski,-0.3371,1.215,-0.277,0.781,-2.719,2.045
DisplayName_Mark Ingram,-4.8824,4.182,-1.167,0.243,-13.08,3.315
DisplayName_Mark Nzeocha,-0.7482,5.236,-0.143,0.886,-11.01,9.514
DisplayName_Mark Sanchez,6.3131,2.597,2.431,0.015,1.223,11.403
DisplayName_Mark Walton,-11.5681,8.85,-1.307,0.191,-28.913,5.777
DisplayName_Markus Golden,6.0475,10.942,0.553,0.58,-15.398,27.493
DisplayName_Markus Wheaton,-6.3562,6.508,-0.977,0.329,-19.113,6.4
DisplayName_Marlon Humphrey,-4.2408,1.845,-2.299,0.022,-7.856,-0.626
DisplayName_Marlon Mack,-7.3438,5.475,-1.341,0.18,-18.075,3.387
DisplayName_Marqise Lee,-4.9463,3.726,-1.328,0.184,-12.249,2.356
DisplayName_Marquel Lee,-2.628,4.154,-0.633,0.527,-10.769,5.513
DisplayName_Marquez Valdes-Scantling,-3.2791,1.774,-1.848,0.065,-6.757,0.199
DisplayName_Marquez Williams,0.4916,4.059,0.121,0.904,-7.463,8.446
DisplayName_Marqui Christian,1.6358,4.956,0.33,0.741,-8.078,11.349
DisplayName_Marquis Bundy,-0.4967,3.915,-0.127,0.899,-8.17,7.177
DisplayName_Marquis Flowers,1.5124,8.301,0.182,0.855,-14.757,17.782
DisplayName_Marquis Haynes,-5.8702,8.35,-0.703,0.482,-22.235,10.495
DisplayName_Marquise Goodwin,-8.7492,7.988,-1.095,0.273,-24.405,6.906
DisplayName_Marshal Yanda,-2.412,2.501,-0.964,0.335,-7.314,2.49
DisplayName_Marshall Newhouse,2.1828,7.593,0.287,0.774,-12.699,17.064
DisplayName_Marshawn Lynch,-5.794,4.198,-1.38,0.168,-14.022,2.435
DisplayName_Marshon Lattimore,-5.5268,1.392,-3.97,0.0,-8.255,-2.798
DisplayName_Martavis Bryant,-3.5514,1.85,-1.92,0.055,-7.178,0.075
DisplayName_Martellus Bennett,6.1987,6.011,1.031,0.302,-5.582,17.98
DisplayName_Martinas Rankin,-3.0542,3.246,-0.941,0.347,-9.415,3.307
DisplayName_Martrell Spaight,1.8815,6.565,0.287,0.774,-10.985,14.748
DisplayName_Marvin Hall,-7.4118,5.227,-1.418,0.156,-17.656,2.832
DisplayName_Marvin Jones,-5.9418,3.194,-1.861,0.063,-12.201,0.318
DisplayName_Marwin Evans,1.8397,6.027,0.305,0.76,-9.973,13.652
DisplayName_Mason Cole,-10.7992,4.948,-2.182,0.029,-20.498,-1.101
DisplayName_Mason Foster,3.022,8.357,0.362,0.718,-13.357,19.401
DisplayName_Mason Schreck,2.7947,2.474,1.13,0.259,-2.054,7.643
DisplayName_Matt Barkley,3.5572,2.798,1.271,0.204,-1.927,9.041
DisplayName_Matt Breida,-12.3819,10.785,-1.148,0.251,-33.52,8.757
DisplayName_Matt Cassel,-0.6077,1.393,-0.436,0.663,-3.337,2.122
DisplayName_Matt Dayes,-9.6004,7.569,-1.268,0.205,-24.436,5.235
DisplayName_Matt Dickerson,-9.7907,11.317,-0.865,0.387,-31.971,12.39
DisplayName_Matt Feiler,2.6657,7.929,0.336,0.737,-12.875,18.206
DisplayName_Matt Flanagan,1.8918,3.453,0.548,0.584,-4.877,8.66
DisplayName_Matt Forte,-7.6637,3.706,-2.068,0.039,-14.927,-0.4
DisplayName_Matt Hazel,-10.1845,5.956,-1.71,0.087,-21.858,1.489
DisplayName_Matt Jones,-1.2728,4.666,-0.273,0.785,-10.418,7.872
DisplayName_Matt Judon,4.5861,11.229,0.408,0.683,-17.422,26.594
DisplayName_Matt Kalil,-2.9442,3.936,-0.748,0.455,-10.66,4.771
DisplayName_Matt LaCosse,0.1255,1.055,0.119,0.905,-1.941,2.192
DisplayName_Matt Lengel,2.0982,3.508,0.598,0.55,-4.776,8.973
DisplayName_Matt Longacre,6.0178,12.34,0.488,0.626,-18.169,30.204
DisplayName_Matt Milano,-4.0535,1.956,-2.072,0.038,-7.887,-0.219
DisplayName_Matt Moore,-3.7096,2.027,-1.831,0.067,-7.682,0.262
DisplayName_Matt Paradis,-6.7321,2.928,-2.299,0.021,-12.47,-0.994
DisplayName_Matt Ryan,-2.7455,2.468,-1.113,0.266,-7.582,2.091
DisplayName_Matt Schaub,1.7628,6.19,0.285,0.776,-10.37,13.895
DisplayName_Matt Skura,-3.3619,2.432,-1.382,0.167,-8.129,1.405
DisplayName_Matt Slauson,-0.5181,0.564,-0.918,0.359,-1.624,0.588
DisplayName_Matt Tobin,-2.5915,3.102,-0.836,0.403,-8.67,3.487
DisplayName_Matthew Adams,-3.7025,3.035,-1.22,0.222,-9.65,2.245
DisplayName_Matthew Ioannidis,-1.4478,5.39,-0.269,0.788,-12.012,9.117
DisplayName_Matthew Slater,-7.4551,3.658,-2.038,0.042,-14.624,-0.286
DisplayName_Matthew Stafford,-1.7027,1.534,-1.11,0.267,-4.71,1.305
DisplayName_Matthias Farley,2.8391,5.419,0.524,0.6,-7.783,13.461
DisplayName_Maurice Alexander,-4.5634,1.863,-2.449,0.014,-8.215,-0.911
DisplayName_Maurice Canady,-5.4519,1.627,-3.351,0.001,-8.641,-2.263
DisplayName_Maurice Harris,-4.0344,1.976,-2.042,0.041,-7.907,-0.162
DisplayName_Maurice Hurst,-8.9022,10.764,-0.827,0.408,-30.0,12.195
DisplayName_Maurice Smith,-2.0544,2.314,-0.888,0.375,-6.59,2.482
DisplayName_Maurkice Pouncey,-6.0247,2.148,-2.805,0.005,-10.235,-1.815
DisplayName_Max Garcia,-1.2348,1.473,-0.838,0.402,-4.121,1.652
DisplayName_Max McCaffrey,-4.7491,3.56,-1.334,0.182,-11.726,2.228
DisplayName_Max Tuerk,-13.3238,7.209,-1.848,0.065,-27.452,0.805
DisplayName_Max Unger,-5.8132,1.96,-2.966,0.003,-9.654,-1.972
DisplayName_Maxx Williams,-0.0041,1.187,-0.003,0.997,-2.331,2.323
DisplayName_Melvin Gordon,-6.5483,4.28,-1.53,0.126,-14.937,1.84
DisplayName_Melvin Ingram,-19.8455,22.823,-0.87,0.385,-64.578,24.887
DisplayName_Menelik Watson,-0.7196,4.12,-0.175,0.861,-8.795,7.356
DisplayName_Micah Hyde,-0.629,2.308,-0.272,0.785,-5.154,3.895
DisplayName_Michael Bennett,-12.3522,15.4,-0.802,0.422,-42.535,17.831
DisplayName_Michael Brockers,-7.4989,7.164,-1.047,0.295,-21.541,6.543
DisplayName_Michael Burton,-3.5593,3.008,-1.183,0.237,-9.455,2.337
DisplayName_Michael Campanaro,-6.1984,5.054,-1.226,0.22,-16.105,3.708
DisplayName_Michael Clark,-2.4665,3.355,-0.735,0.462,-9.041,4.108
DisplayName_Michael Crabtree,-0.6019,3.153,-0.191,0.849,-6.781,5.577
DisplayName_Michael Davis,-5.1808,1.556,-3.329,0.001,-8.231,-2.13
DisplayName_Michael Floyd,0.411,4.159,0.099,0.921,-7.74,8.562
DisplayName_Michael Gallup,-3.9566,2.856,-1.385,0.166,-9.555,1.641
DisplayName_Michael Hoomanawanui,5.0603,3.473,1.457,0.145,-1.747,11.868
DisplayName_Michael Johnson,-12.429,14.013,-0.887,0.375,-39.893,15.035
DisplayName_Michael Jordan,-4.0415,2.526,-1.6,0.11,-8.992,0.909
DisplayName_Michael Liedtke,-1.8271,4.407,-0.415,0.678,-10.465,6.811
DisplayName_Michael Mauti,3.739,6.443,0.58,0.562,-8.889,16.367
DisplayName_Michael Ola,-2.2467,3.612,-0.622,0.534,-9.326,4.832
DisplayName_Michael Pierce,4.0814,3.408,1.197,0.231,-2.599,10.762
DisplayName_Michael Roberts,3.5804,3.346,1.07,0.285,-2.977,10.138
DisplayName_Michael Schofield,-3.6817,3.896,-0.945,0.345,-11.319,3.955
DisplayName_Michael Thomas,-1.4223,2.19,-0.649,0.516,-5.715,2.871
DisplayName_Michael Wilhoite,3.0751,7.11,0.433,0.665,-10.86,17.01
DisplayName_Mike Adams,1.8315,4.375,0.419,0.675,-6.743,10.406
DisplayName_Mike Boone,-8.639,6.961,-1.241,0.215,-22.282,5.004
DisplayName_Mike Daniels,-4.069,5.412,-0.752,0.452,-14.676,6.538
DisplayName_Mike Davis,-3.1616,3.06,-1.033,0.302,-9.159,2.836
DisplayName_Mike Evans,2.0126,6.68,0.301,0.763,-11.08,15.105
DisplayName_Mike Ford,-5.1847,1.767,-2.933,0.003,-8.649,-1.72
DisplayName_Mike Gesicki,-1.6984,1.233,-1.377,0.169,-4.116,0.719
DisplayName_Mike Gillislee,-7.6885,5.444,-1.412,0.158,-18.358,2.981
DisplayName_Mike Glennon,-0.2675,1.29,-0.207,0.836,-2.796,2.261
DisplayName_Mike Hilton,-6.4089,2.815,-2.277,0.023,-11.926,-0.891
DisplayName_Mike Hughes,-4.6169,1.759,-2.624,0.009,-8.065,-1.169
DisplayName_Mike Hull,-1.6398,3.731,-0.44,0.66,-8.952,5.672
DisplayName_Mike Iupati,3.9703,4.256,0.933,0.351,-4.371,12.312
DisplayName_Mike Love,-17.295,20.696,-0.836,0.403,-57.858,23.268
DisplayName_Mike McGlinchey,-2.7022,3.856,-0.701,0.483,-10.26,4.855
DisplayName_Mike Mitchell,5.2687,8.494,0.62,0.535,-11.38,21.918
DisplayName_Mike Pennel,2.8053,4.045,0.693,0.488,-5.123,10.734
DisplayName_Mike Person,-7.5613,3.141,-2.408,0.016,-13.717,-1.406
DisplayName_Mike Pouncey,-8.147,3.397,-2.399,0.016,-14.804,-1.49
DisplayName_Mike Remmers,-2.7098,3.001,-0.903,0.366,-8.591,3.171
DisplayName_Mike Thomas,-9.3839,5.548,-1.691,0.091,-20.259,1.491
